ID,CommonName,SMILES,Formula,AverageMass,MolecularWeight,MonoisotopicMass,NominalMass
1259,"3-(5-Fluoro-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)alanine",NC(Cn1cc(F)c(=O)[nH]c1=O)C(=O)O,C_{7}H_{8}FN_{3}O_{4},217.156,217.156,217.049884,217
1274,"N-(4,4,4-Trifluoro-3-oxo-1-phenyl-2-butanyl)acetamide",CC(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,C_{12}H_{12}F_{3}NO_{2},259.227,259.227,259.082013,259
1463,"2-[4-(3-{[2-(2-Chloro-6-fluorophenyl)ethyl][(2,3-dichlorophenyl)carbamoyl]amino}propyl)phenoxy]-2-methylpropanoic acid",CC(C)(Oc1ccc(CCCN(CCc2c(F)cccc2Cl)C(=O)Nc2cccc(Cl)c2Cl)cc1)C(=O)O,C_{28}H_{28}Cl_{3}FN_{2}O_{4},581.89,581.89,580.109869,580
1488,BREQUINAR ANALOG,Cc1c(-c2ccc(-c3ccccc3)cc2)nc2ccc(F)cc2c1C(=O)O,C_{23}H_{16}FNO_{2},357.384,357.384,357.116507,357
1495,2-Cyano-3-hydroxy-N-[4-(trifluoromethyl)phenyl]butanamide,CC(O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,C_{12}H_{11}F_{3}N_{2}O_{2},272.226,272.226,272.077262,272
1621,Pleconaril,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,C_{18}H_{18}F_{3}N_{3}O_{3},381.354,381.354,381.130026,381
1751,"6-Fluoro-1-pentofuranosyl-2,4(1H,3H)-pyrimidinedione",O=c1cc(F)n(C2OC(CO)C(O)C2O)c(=O)[nH]1,C_{9}H_{11}FN_{2}O_{6},262.193,262.193,262.060114,262
1752,5-fluoro-9-amino-(n-(2-dimethylamino)ethyl)acridine-4-carboxamide,CN(C)CCNC(=O)c1cccc2c(N)c3cccc(F)c3nc12,C_{18}H_{19}FN_{4}O,326.375,326.375,326.154289,326
1754,5-Fluoroindole-2-carboxylic acid,O=C(O)c1cc2cc(F)ccc2[nH]1,C_{9}H_{6}FNO_{2},179.15,179.15,179.038257,179
1755,"5-fluoro-1-pentofuranosylpyrimidine-2,4(1h,3h)-dione",O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1F,C_{9}H_{11}FN_{2}O_{6},262.193,262.193,262.060114,262
1792,6-fluoro-noradrenaline,NCC(O)c1cc(O)c(O)cc1F,C_{8}H_{10}FNO_{3},187.17,187.17,187.064471,187
1875,"N-Methylphenylalanyl-N-[4,4,5,5,5-pentafluoro-1-(1H-indol-3-yl)-3-oxo-2-pentanyl]prolinamide",CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)C(F)(F)C(F)(F)F,C_{28}H_{29}F_{5}N_{4}O_{3},564.555,564.555,564.215982,564
1890,"N,N′-(3,3-Difluoro-4,4-dihydroxy-1,6-diphenyl-2,5-hexanediyl)bis(3-methyl-2-{[methyl(2-pyridinylmethyl)carbamoyl]amino}butanamide)",CC(C)C(NC(=O)N(C)Cc1ccccn1)C(=O)NC(Cc1ccccc1)C(O)(O)C(F)(F)C(Cc1ccccc1)NC(=O)C(NC(=O)N(C)Cc1ccccn1)C(C)C,C_{44}H_{56}F_{2}N_{8}O_{6},830.978,830.978,830.429088,830
1960,Afloqualone,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O,C_{16}H_{14}FN_{3}O,283.306,283.306,283.11209,283
1976,"Ethyl 4-{[2-(4-fluorobenzyl)-6-methyl-5-{[(5-methyl-1,2-oxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-(2-oxo-3-pyrrolidinyl)pentanoate",CCOC(=O)CCC(CC1CCNC1=O)NC(=O)C(CC(=O)C(NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,C_{31}H_{41}FN_{4}O_{7},600.688,600.688,600.295928,600
2160,Astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,C_{28}H_{31}FN_{4}O,458.581,458.581,458.24819,458
2163,ENT-ATORVASTATIN,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,C_{33}H_{35}FN_{2}O_{5},558.65,558.65,558.253,558
2213,"methyl 2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-1,4-dihydropyridine-3-carboxylate",COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F,C_{16}H_{15}F_{3}N_{2}O_{4},356.3,356.3,356.098392,356
2228,Benfluorex,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,C_{19}H_{20}F_{3}NO_{2},351.368,351.368,351.144614,351
2229,benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],C_{13}H_{16}F_{3}N_{3}O_{4},335.282,335.282,335.109291,335
